,,,,,,,,,,,,,,,,,Cross-Platform Availability,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Basic App Info,,,,,,Growth Strategy: Outreach plan increase user base(share doc URL),,Open Source Project Management,,,,,,Growth Strategy: Outreach plan increase contributor base(share doc URL),,Desktop,,,,Mobile,,,Web,,,,,Indic Languages Support,,,AI/ML Innovation,,,Model Fine-tuning & Corpus Contribution,,,,,,Inclusivity & Accessibility,,,
Factor,App Name,Short description,Target User Personas,Current Users Count,PROD URL,User Feedback Loop - plan doc URL,Week-wise plan,Geographical expansion plans,Repo URL,README.md,CONTRIBUTING.md,CHANGELOG,Issue Templates,.vscode/settings.json,Week-wise plan,Geographical expansion plans,GNU/Linux OS,MacOS,WindowsOS,Others(mention name),Android,iOS,Others,Chrome,Firefox,Safari,Edge,Others,Supported Languages in Input,Supported Languages in Output,Multilingual UI,AI Use Case,Model Transparency,Indic Dataset Usage,Corpus App Usage,Original Dataset Quality,Indic Relevance,Model Fine-tuning,Model Performance,Ethical Data Practices,Offline-first design,Low Bandwidth Optimization,Device Compatibility,
Helper text,App Name,"Short description of the application, about its functionality, uses cases and social impact",Who are the target users? who benefits from your application?,No of current registered/enrolled users?,App Name,"Short description of the application, about its functionality, uses cases and social impact",Who are the target users? who benefits from your application?,No of current registered/enrolled users?,Provide the source code link of your project,"Does your project repository have comprehensive and detailed README.md, containing the details of the projects from installation, development, setup and running? and replication of the this can be just be done by following the README guide?",Does your project repository have comprehensive and detailed on contributing guidelines with CONTRIBUTING.md document?,"Are you maintaining the CHANGELOG, that maintains the log for the significant changes and easily understandable by other developer in future?","Does your projects have issue templates for raising issue on feature requests, bugs, documentation, setup and development queries",,,,Yes or No?,Yes or No?,Yes or No?,"Mention if available for other platform, other than mentioned",Yes or No,Yes or No,"Mention if available for other platform, other than mentioned",Yes or No,Yes or No,Yes or No,Yes or No,"Mention if available for other platform, other than mentioned",Mention list of the languages that your application takes as input,Mention the list of the languages that your application can give output?,Is your application has multilingual interface (UI)? including the support for multilingual helper information.,Can it be used as one of AI use case?,Are your models open source?,Are Indian datasets used or created?,Has the team used the official Corpus App to collect primary digital data?,"Is the collected dataset unique, relevant, and well-documented?","Does the dataset reflect linguistic, cultural, or regional diversity of Indian users?",Has the team fine-tuned a model using their dataset? Is the approach well-explained?,Are there metrics or evaluations showing the effectiveness of the fine-tuned model?,Was data collected with consent and transparency? Are privacy concerns addressed?,"Does your app work offline, with no loss of functionalities?",Works well in rural/low-connectivity areas?,Performance on low-end devices?,
Team 1,bharat darshan explorer,"Bharat Darshan Explorer is a web application that allows users to explore the cultural richness of Indian states through real-time Wikipedia data. Users can select a state and view information about its culture, cuisine, art forms, and monuments in an interactive tabbed layout. The app helps students, travelers, and culture enthusiasts easily access region-specific knowledge. It promotes cultural awareness, supports educational learning, and preserves traditional heritage by making verified information accessible to everyone.","Traveller, Tourists, Students",4 for now,https://huggingface.co/spaces/Pranathish/Indian_Heritage_Explorer,Gitlab repo,"Traveller, Tourists, Students",,https://code.swecha.org/soai2025/soai-hackathon/group_1,yes,yes,no,yes,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,English,English,No,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,
Team 2,Virasaat," VirasaaT is a cultural discovery web app that helps users explore the rich traditions, art forms, festivals, and heritage of India.","Students & Educators,Tourists & Travel Enthusiasts",none,https://huggingface.co/spaces/Sratan/Virasaat,Gitlab repo,,,https://code.swecha.org/soai2025/soai-hackathon/local-culture-explorer,yes,yes,no,no,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,English,English,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,
Team 3,WikiExplorerAR,WikiExplorerAR is an educational app that helps you learn about famous places or people by simply taking a photo or typing a name.,"school children, history learners, and heritage enthusiasts",none,https://huggingface.co/spaces/Rohanharsh163/WikiExplorer,Gitlab Repo,,,https://code.swecha.org/soai2025/soai-hackathon/wikiexplorer_ar,yes,yes,no,no,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,English,English,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,
Team 4,Agrimetric,"Agrimetric is a one-stop app that helps farmers with crop info, market prices, and seasonal farming insights.",farmers and students,not yet,https://huggingface.co/spaces/harshini19/species-scanner,Gitlab Repo,farmers and students,,https://huggingface.co/spaces/harshini19/species-scanner,yes,yes,no,no,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,English,English,No,yes,yes,yes,no,yes,no,no,no,no,no,no,no,
Team 5,hire path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 6,JanmaBhoomi,"an AI-powered cultural knowledge explorer that allows users to discover historical, cultural, and local facts about any Indian village, town, or city","School,Educators,Travelers and culture enthusiasts",4,https://huggingface.co/spaces/Gursidak/JanmaBhoomi,Gitlab Repo,UI/UX Enhacement and Multlingual,Hyperlocal stories contribution module,https://code.swecha.org/soai2025/soai-hackathon/janmabhoomi,yes,yes,yes,yes,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,English,English,working on it,yes,yes,yes,no,no,not yet,no,no,yes,not yet,yes,yes,
Team 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 8,civicLens ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
